Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,26.290001,26.440001,25.920000,26.320000,26.320000,150900
2017-05-31,26.430000,26.490000,25.930000,26.290001,26.290001,94600
2017-06-01,26.480000,26.650000,26.240000,26.629999,26.629999,64500
2017-06-02,26.629999,27.379999,26.629999,26.910000,26.910000,81100
2017-06-05,26.900000,26.930000,26.590000,26.730000,26.730000,54200
2017-06-06,26.670000,26.680000,26.440001,26.530001,26.530001,73000
2017-06-07,26.430000,26.430000,26.100000,26.230000,26.230000,52800
2017-06-08,26.360001,26.559999,26.139999,26.410000,26.410000,63400
2017-06-09,26.350000,26.690001,26.350000,26.559999,26.559999,83300
2017-06-12,26.530001,26.840000,26.530001,26.740000,26.740000,109500
2017-06-13,26.780001,27.040001,26.650000,26.889999,26.889999,126600
2017-06-14,26.879999,27.090000,26.740000,26.889999,26.889999,111100
2017-06-15,26.680000,27.120001,26.680000,27.000000,27.000000,88600
2017-06-16,26.770000,27.010000,26.770000,26.920000,26.920000,104400
2017-06-19,26.990000,27.139999,26.799999,26.879999,26.879999,83100
2017-06-20,26.799999,27.160000,26.610001,26.760000,26.760000,58200
2017-06-21,26.780001,26.840000,26.490000,26.559999,26.559999,81900
2017-06-22,26.590000,26.709999,26.420000,26.549999,26.549999,29700
2017-06-23,26.639999,26.709999,26.400000,26.629999,26.629999,107800
2017-06-26,26.639999,26.930000,26.610001,26.820000,26.820000,124806
